src_ip,dest_ip,proto,src_port,dest_port,alert.severity
1.0,1.0,1.0,0.7867756428932882,1.0,0.0
1.0,1.0,1.0,0.8805606244153773,1.0,0.0
1.0,1.0,1.0,0.2516676122858939,1.0,0.0
1.0,1.0,1.0,0.6447027433180501,1.0,0.0
1.0,1.0,1.0,0.8904052872893441,1.0,0.0
1.0,1.0,1.0,0.664453406529373,1.0,0.0
1.0,1.0,1.0,0.7201938263843098,1.0,0.0
1.0,1.0,1.0,0.6084676368208792,1.0,0.0
1.0,1.0,1.0,0.26853541471792436,1.0,0.0
1.0,1.0,1.0,0.43998895925658993,1.0,0.0
1.0,1.0,1.0,0.7556928833208103,1.0,0.0
1.0,1.0,1.0,0.3107049207980004,1.0,0.0
1.0,1.0,1.0,0.39317314032478184,1.0,0.0
1.0,1.0,1.0,0.8044101636176836,1.0,0.0
1.0,1.0,1.0,0.4828025087022526,1.0,0.0
1.0,1.0,1.0,0.8618373637158235,1.0,0.0
1.0,1.0,1.0,0.5418244828485118,1.0,0.0
1.0,1.0,1.0,0.7027126493183874,1.0,0.0
1.0,1.0,1.0,0.93297348688145,1.0,0.0
1.0,1.0,1.0,0.39243709076411143,1.0,0.0
1.0,1.0,1.0,0.5328692131936884,1.0,0.0
1.0,1.0,1.0,0.27419379571557817,1.0,0.0
1.0,1.0,1.0,0.8123840338582798,1.0,0.0
1.0,1.0,1.0,0.39808013739591797,1.0,0.0
1.0,1.0,1.0,0.3278180730835876,1.0,0.0
1.0,1.0,1.0,0.44782482020456044,1.0,0.0
1.0,1.0,1.0,0.8743042031496787,1.0,0.0
1.0,1.0,1.0,0.5674788769110454,1.0,0.0
1.0,1.0,1.0,0.6210418168156656,1.0,0.0
1.0,1.0,1.0,0.2543204575774769,1.0,0.0
1.0,1.0,1.0,0.8914786928986552,1.0,0.0
1.0,1.0,1.0,0.9563583947985831,1.0,0.0
1.0,1.0,1.0,0.7247327986751108,1.0,0.0
1.0,1.0,1.0,0.48540935089629367,1.0,0.0
1.0,1.0,1.0,0.43607869596552834,1.0,0.0
1.0,1.0,1.0,0.27275236532593194,1.0,0.0
1.0,1.0,1.0,0.7417539447656142,1.0,0.0
1.0,1.0,1.0,0.24817137687270943,1.0,0.0
1.0,1.0,1.0,0.5152653612009875,1.0,0.0
1.0,1.0,1.0,0.7761949304586508,1.0,0.0
1.0,1.0,1.0,0.3016729793139405,1.0,0.0
1.0,1.0,1.0,0.25384509223621055,1.0,0.0
1.0,1.0,1.0,0.3387821446644074,1.0,0.0
1.0,1.0,1.0,0.2953245518531581,1.0,0.0
1.0,1.0,1.0,0.4182754972168126,1.0,0.0
1.0,1.0,1.0,0.7538220906874397,1.0,0.0
1.0,1.0,1.0,0.8777697698311686,1.0,0.0
1.0,1.0,1.0,0.2903408829527855,1.0,0.0
1.0,1.0,1.0,0.7998251882293408,1.0,0.0
1.0,1.0,1.0,0.5911551377792771,1.0,0.0
1.0,1.0,1.0,0.8255562541211108,1.0,0.0
1.0,1.0,1.0,0.9455783356079309,1.0,0.0
1.0,1.0,1.0,0.9968717893671507,1.0,0.0
1.0,1.0,1.0,0.36514191955591674,1.0,0.0
1.0,1.0,1.0,0.6513425237299312,1.0,0.0
1.0,1.0,1.0,0.9673071320135556,1.0,0.0
1.0,1.0,1.0,0.5317498044868354,1.0,0.0
1.0,1.0,1.0,0.5302930397313419,1.0,0.0
1.0,1.0,1.0,0.5712971340070231,1.0,0.0
1.0,1.0,1.0,0.24898409826261636,1.0,0.0
1.0,1.0,1.0,0.6058761289926855,1.0,0.0
1.0,1.0,1.0,0.3615076748501066,1.0,0.0
1.0,1.0,1.0,0.3544538665603484,1.0,0.0
1.0,1.0,1.0,0.3360679619094352,1.0,0.0
1.0,1.0,1.0,0.8934108229954151,1.0,0.0
1.0,1.0,1.0,0.3035591063131584,1.0,0.0
1.0,1.0,1.0,0.2877340407587444,1.0,0.0
1.0,1.0,1.0,0.39231441583733306,1.0,0.0
1.0,1.0,1.0,0.5996197077269869,1.0,0.0
1.0,1.0,1.0,0.9082544891356018,1.0,0.0
1.0,1.0,1.0,0.6018585251406928,1.0,0.0
1.0,1.0,1.0,0.38072163525677394,1.0,0.0
1.0,1.0,1.0,0.39148636008157883,1.0,0.0
1.0,1.0,1.0,0.8562096514498643,1.0,0.0
1.0,1.0,1.0,0.5589223007682518,1.0,0.0
1.0,1.0,1.0,0.6558508272890374,1.0,0.0
1.0,1.0,1.0,0.6326039286645301,1.0,0.0
1.0,1.0,1.0,0.8737981690767178,1.0,0.0
1.0,1.0,1.0,0.533973287534694,1.0,0.0
1.0,1.0,1.0,0.9471577752902028,1.0,0.0
1.0,1.0,1.0,0.40692806648981034,1.0,0.0
1.0,1.0,1.0,0.9694846119638723,1.0,0.0
1.0,1.0,1.0,0.5265361200987533,1.0,0.0
1.0,1.0,1.0,0.6805851594007329,1.0,0.0
1.0,1.0,1.0,0.8255715884869581,1.0,0.0
1.0,1.0,1.0,0.8578810973272201,1.0,0.0
1.0,1.0,1.0,0.8529127627926947,1.0,0.0
1.0,1.0,1.0,0.9245549200312821,1.0,0.0
1.0,1.0,1.0,0.5579102326223299,1.0,0.0
